city_ascii,state_name,Year,Month,Monthly_Avg_AQI
Albany,Georgia,1996,11,16.8
Albany,Georgia,1996,12,11.0
Albany,Georgia,1997,1,11.0
Albany,Georgia,1997,2,14.4
Albany,Georgia,1997,3,23.0
Albany,Georgia,1997,4,20.4
Albany,Georgia,1997,5,20.2
Albany,Georgia,1997,6,31.6
Albany,Georgia,1997,7,36.4
Albany,Georgia,1997,8,26.8
Albany,Georgia,1997,9,33.8
Albany,Georgia,1997,10,21.666666666666668
Albany,Georgia,1997,11,14.0
Albany,Georgia,1997,12,23.8
Albany,Georgia,1998,1,17.0
Albany,Georgia,1998,2,12.5
Albany,Georgia,1998,3,19.25
Albany,Georgia,1998,4,21.333333333333332
Albany,Georgia,1998,5,37.2
Albany,Georgia,1998,6,29.25
Albany,Georgia,1998,7,28.0
Albany,Georgia,1998,8,34.0
Albany,Georgia,1998,9,19.0
Albany,Georgia,1998,10,32.0
Albany,Georgia,1998,11,25.2
Albany,Georgia,1998,12,16.0
Albany,Georgia,1999,1,21.25
Albany,Georgia,1999,2,53.42857142857143
Albany,Georgia,1999,3,53.5
Albany,Georgia,1999,4,52.625
Albany,Georgia,1999,5,61.3
Albany,Georgia,1999,6,58.7
Albany,Georgia,1999,7,56.77777777777778
Albany,Georgia,1999,8,81.54545454545455
Albany,Georgia,1999,9,59.9
Albany,Georgia,1999,10,52.0
Albany,Georgia,1999,11,62.0
Albany,Georgia,1999,12,52.666666666666664
Albany,Georgia,2000,1,57.27272727272727
Albany,Georgia,2000,2,73.11111111111111
Albany,Georgia,2000,3,62.09090909090909
Albany,Georgia,2000,4,52.1
Albany,Georgia,2000,5,53.57142857142857
Albany,Georgia,2000,6,43.6
Albany,Georgia,2000,7,45.57142857142857
Albany,Georgia,2000,8,54.36363636363637
Albany,Georgia,2000,9,50.22222222222222
Albany,Georgia,2000,10,71.66666666666667
Albany,Georgia,2000,11,61.5
Albany,Georgia,2000,12,49.63636363636363
Albany,Georgia,2001,1,43.9
Albany,Georgia,2001,2,55.333333333333336
Albany,Georgia,2001,3,58.4
Albany,Georgia,2001,4,53.77777777777778
Albany,Georgia,2001,5,52.55555555555556
Albany,Georgia,2001,6,41.9
Albany,Georgia,2001,7,55.333333333333336
Albany,Georgia,2001,8,54.6
Albany,Georgia,2001,9,43.4
Albany,Georgia,2001,10,42.1
Albany,Georgia,2001,11,52.36363636363637
Albany,Georgia,2001,12,47.77777777777778
Albany,Georgia,2002,1,47.1
Albany,Georgia,2002,2,50.7
Albany,Georgia,2002,3,50.55555555555556
Albany,Georgia,2002,4,55.666666666666664
Albany,Georgia,2002,5,57.5
Albany,Georgia,2002,6,45.1
Albany,Georgia,2002,7,44.90909090909091
Albany,Georgia,2002,8,43.5
Albany,Georgia,2002,9,50.375
Albany,Georgia,2002,10,45.77777777777778
Albany,Georgia,2002,11,50.9
Albany,Georgia,2002,12,40.90909090909091
Albany,Georgia,2003,1,48.4
Albany,Georgia,2003,2,46.77777777777778
Albany,Georgia,2003,3,45.583333333333336
Albany,Georgia,2003,4,56.0
Albany,Georgia,2003,5,51.1
Albany,Georgia,2003,6,54.1
Albany,Georgia,2003,7,44.0
Albany,Georgia,2003,8,41.09090909090909
Albany,Georgia,2003,9,54.111111111111114
Albany,Georgia,2003,10,61.5
Albany,Georgia,2003,11,47.5
Albany,Georgia,2003,12,42.6
Albany,Georgia,2004,1,47.18181818181818
Albany,Georgia,2004,2,41.333333333333336
Albany,Georgia,2004,3,58.09090909090909
Albany,Georgia,2004,4,53.5
Albany,Georgia,2004,5,53.2
Albany,Georgia,2004,6,44.0
Albany,Georgia,2004,7,61.5
Albany,Georgia,2004,8,53.45454545454545
Albany,Georgia,2004,9,48.333333333333336
Albany,Georgia,2004,10,61.0
Albany,Georgia,2004,11,35.1
Albany,Georgia,2004,12,44.2
Albany,Georgia,2005,1,53.45454545454545
Albany,Georgia,2005,2,46.0
Albany,Georgia,2005,3,47.4
Albany,Georgia,2005,4,46.0
Albany,Georgia,2005,5,60.5
Albany,Georgia,2005,6,47.0
Albany,Georgia,2005,7,49.75
Albany,Georgia,2005,8,53.77777777777778
Albany,Georgia,2005,9,61.6
Albany,Georgia,2005,10,55.09090909090909
Albany,Georgia,2005,11,47.8
Albany,Georgia,2005,12,46.6
Albany,Georgia,2006,1,39.3
Albany,Georgia,2006,2,50.1
Albany,Georgia,2006,3,79.22222222222223
Albany,Georgia,2006,4,52.6
Albany,Georgia,2006,5,51.9
Albany,Georgia,2006,6,57.8
Albany,Georgia,2006,7,58.8
Albany,Georgia,2006,8,53.22222222222222
Albany,Georgia,2006,9,53.2
Albany,Georgia,2006,10,48.0
Albany,Georgia,2006,11,44.55555555555556
Albany,Georgia,2006,12,44.90909090909091
Albany,Georgia,2007,1,40.9
Albany,Georgia,2007,2,53.0
Albany,Georgia,2007,3,74.18181818181819
Albany,Georgia,2007,4,48.888888888888886
Albany,Georgia,2007,5,90.85714285714286
Albany,Georgia,2007,6,57.2
Albany,Georgia,2007,7,38.22222222222222
Albany,Georgia,2007,8,55.90909090909091
Albany,Georgia,2007,9,41.8
Albany,Georgia,2007,10,33.4
Albany,Georgia,2007,11,55.1
Albany,Georgia,2007,12,49.75
Albany,Georgia,2008,1,41.27272727272727
Albany,Georgia,2008,2,48.888888888888886
Albany,Georgia,2008,3,59.72727272727273
Albany,Georgia,2008,4,28.333333333333332
Albany,Georgia,2008,5,59.0
Albany,Georgia,2008,6,58.1
Albany,Georgia,2008,7,63.225806451612904
Albany,Georgia,2008,8,52.3448275862069
Albany,Georgia,2008,9,54.833333333333336
Albany,Georgia,2008,10,48.0
Albany,Georgia,2008,11,46.7
Albany,Georgia,2008,12,42.32258064516129
Albany,Georgia,2009,1,44.148148148148145
Albany,Georgia,2009,2,63.666666666666664
Albany,Georgia,2009,3,55.233333333333334
Albany,Georgia,2009,4,46.666666666666664
Albany,Georgia,2009,5,43.04
Albany,Georgia,2009,6,68.5
Albany,Georgia,2009,7,57.4375
Albany,Georgia,2009,8,48.22222222222222
Albany,Georgia,2009,9,56.13333333333333
Albany,Georgia,2009,10,42.733333333333334
Albany,Georgia,2009,11,49.233333333333334
Albany,Georgia,2009,12,42.25806451612903
Albany,Georgia,2010,1,49.58620689655172
Albany,Georgia,2010,2,41.92857142857143
Albany,Georgia,2010,3,56.67741935483871
Albany,Georgia,2010,4,60.206896551724135
Albany,Georgia,2010,5,49.733333333333334
Albany,Georgia,2010,6,44.03703703703704
Albany,Georgia,2010,7,43.83870967741935
Albany,Georgia,2010,8,37.733333333333334
Albany,Georgia,2010,9,46.36666666666667
Albany,Georgia,2010,10,51.225806451612904
Albany,Georgia,2010,11,52.36666666666667
Albany,Georgia,2010,12,48.645161290322584
Albany,Georgia,2011,1,47.57142857142857
Albany,Georgia,2011,2,58.67857142857143
Albany,Georgia,2011,3,56.935483870967744
Albany,Georgia,2011,4,56.7
Albany,Georgia,2011,5,55.645161290322584
Albany,Georgia,2011,6,63.3
Albany,Georgia,2011,7,55.064516129032256
Albany,Georgia,2011,8,59.38709677419355
Albany,Georgia,2011,9,49.266666666666666
Albany,Georgia,2011,10,51.41935483870968
Albany,Georgia,2011,11,43.06896551724138
Albany,Georgia,2011,12,44.806451612903224
Albany,Georgia,2012,1,48.516129032258064
Albany,Georgia,2012,2,46.827586206896555
Albany,Georgia,2012,3,47.806451612903224
Albany,Georgia,2012,4,37.63333333333333
Albany,Georgia,2012,5,42.41935483870968
Albany,Georgia,2012,6,37.86666666666667
Albany,Georgia,2012,7,39.74193548387097
Albany,Georgia,2012,8,34.645161290322584
Albany,Georgia,2012,9,31.0
Albany,Georgia,2012,10,32.903225806451616
Albany,Georgia,2012,11,51.06666666666667
Albany,Georgia,2012,12,44.064516129032256
Albany,Georgia,2013,1,53.03225806451613
Albany,Georgia,2013,2,43.107142857142854
Albany,Georgia,2013,3,56.806451612903224
Albany,Georgia,2013,4,50.43333333333333
Albany,Georgia,2013,5,42.645161290322584
Albany,Georgia,2013,6,36.310344827586206
Albany,Georgia,2013,7,35.064516129032256
Albany,Georgia,2013,8,42.45161290322581
Albany,Georgia,2013,9,52.36666666666667
Albany,Georgia,2013,10,48.25806451612903
Albany,Georgia,2013,11,39.06666666666667
Albany,Georgia,2013,12,39.903225806451616
Albany,Georgia,2014,1,32.87096774193548
Albany,Georgia,2014,2,40.61538461538461
Albany,Georgia,2014,3,45.42857142857143
Albany,Georgia,2014,4,44.0
Albany,Georgia,2014,5,45.83870967741935
Albany,Georgia,2014,6,39.86666666666667
Albany,Georgia,2014,7,47.38709677419355
Albany,Georgia,2014,8,45.74193548387097
Albany,Georgia,2014,9,39.266666666666666
Albany,Georgia,2014,10,46.63333333333333
Albany,Georgia,2014,11,57.233333333333334
Albany,Georgia,2014,12,53.67741935483871
Albany,Georgia,2015,1,55.54838709677419
Albany,Georgia,2015,2,53.357142857142854
Albany,Georgia,2015,3,56.38709677419355
Albany,Georgia,2015,4,43.63333333333333
Albany,Georgia,2015,5,46.74193548387097
Albany,Georgia,2015,6,43.5
Albany,Georgia,2015,7,51.67741935483871
Albany,Georgia,2015,8,34.064516129032256
Albany,Georgia,2015,9,30.533333333333335
Albany,Georgia,2015,10,30.741935483870968
Albany,Georgia,2015,11,26.466666666666665
Albany,Georgia,2015,12,41.87096774193548
Albany,Georgia,2016,1,45.83870967741935
Albany,Georgia,2016,2,49.10344827586207
Albany,Georgia,2016,3,48.774193548387096
Albany,Georgia,2016,4,43.035714285714285
Albany,Georgia,2016,5,38.225806451612904
Albany,Georgia,2016,6,36.96666666666667
Albany,Georgia,2016,7,30.64516129032258
Albany,Georgia,2016,8,23.774193548387096
Albany,Georgia,2016,9,32.03333333333333
Albany,Georgia,2016,10,37.46666666666667
Albany,Georgia,2016,11,52.766666666666666
Albany,Georgia,2016,12,36.61290322580645
Albany,Georgia,2017,1,38.645161290322584
Albany,Georgia,2017,2,50.0
Albany,Georgia,2017,3,55.5
Albany,Georgia,2017,4,46.827586206896555
Albany,Georgia,2017,5,39.06666666666667
Albany,Georgia,2017,6,28.285714285714285
Albany,Georgia,2017,7,32.354838709677416
Albany,Georgia,2017,8,35.0
Albany,Georgia,2017,9,41.0
Albany,Georgia,2017,10,27.258064516129032
Albany,Georgia,2017,11,41.06666666666667
Albany,Georgia,2017,12,34.29032258064516
Albany,Georgia,2018,1,40.12903225806452
Albany,Georgia,2018,2,32.407407407407405
Albany,Georgia,2018,3,47.58620689655172
Albany,Georgia,2018,4,34.266666666666666
Albany,Georgia,2018,5,33.774193548387096
Albany,Georgia,2018,6,35.266666666666666
Albany,Georgia,2018,7,35.25806451612903
Albany,Georgia,2018,8,27.967741935483872
Albany,Georgia,2018,9,24.466666666666665
Albany,Georgia,2018,10,36.2962962962963
Albany,Georgia,2018,11,31.82758620689655
Albany,Georgia,2018,12,28.903225806451612
Albany,Georgia,2019,1,38.645161290322584
Albany,Georgia,2019,2,39.82142857142857
